l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,groupcol,aggcol
O,O,N,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,0,HOUSEHOLD,FOB,3,0.06,0.02,18,Brand#45,14,7503,39
O,O,N,COLLECT COD,0,Manufacturer#1,2-HIGH,0,HOUSEHOLD,TRUCK,4,0.08,0.04,14,Brand#12,14,7503,36
O,O,N,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,0,HOUSEHOLD,MAIL,1,0.04,0.05,11,Brand#12,14,7503,20
O,O,N,NONE,0,Manufacturer#1,2-HIGH,0,HOUSEHOLD,TRUCK,2,0.07,0.03,16,Brand#12,14,7503,3
F,F,R,COLLECT COD,4,Manufacturer#5,5-LOW,2,AUTOMOBILE,TRUCK,2,0,0.1,10,Brand#55,21,7504,8
F,F,A,NONE,1,Manufacturer#4,5-LOW,2,AUTOMOBILE,FOB,5,0.03,0.07,24,Brand#44,21,7504,10
F,F,R,NONE,0,Manufacturer#5,5-LOW,2,AUTOMOBILE,REG AIR,3,0.02,0,16,Brand#53,21,7504,3
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,AUTOMOBILE,FOB,1,0.01,0.04,17,Brand#13,21,7504,47
F,F,R,NONE,3,Manufacturer#2,5-LOW,2,AUTOMOBILE,AIR,4,0.05,0.1,19,Brand#23,21,7504,8
F,F,A,NONE,1,Manufacturer#5,2-HIGH,0,AUTOMOBILE,MAIL,1,0.03,0.03,17,Brand#51,5,7505,49
F,F,R,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,4,FURNITURE,MAIL,3,0.04,0.06,22,Brand#21,11,7506,4
F,F,A,DELIVER IN PERSON,3,Manufacturer#3,1-URGENT,4,FURNITURE,TRUCK,6,0.07,0.04,6,Brand#31,11,7506,47
F,F,R,NONE,2,Manufacturer#5,1-URGENT,4,FURNITURE,REG AIR,4,0.04,0.08,12,Brand#53,11,7506,9
F,F,A,NONE,0,Manufacturer#3,1-URGENT,4,FURNITURE,SHIP,1,0.02,0.04,14,Brand#32,11,7506,11
F,F,A,NONE,2,Manufacturer#3,1-URGENT,4,FURNITURE,TRUCK,5,0.08,0.03,9,Brand#31,11,7506,22
F,F,R,COLLECT COD,1,Manufacturer#2,1-URGENT,4,FURNITURE,REG AIR,2,0.06,0.03,24,Brand#23,11,7506,26
F,F,A,NONE,2,Manufacturer#4,1-URGENT,4,FURNITURE,MAIL,7,0.04,0.01,9,Brand#42,11,7506,16
F,F,R,COLLECT COD,0,Manufacturer#5,5-LOW,4,BUILDING,RAIL,2,0.04,0.01,5,Brand#51,10,7507,31
F,F,A,NONE,3,Manufacturer#2,5-LOW,4,BUILDING,FOB,1,0.04,0.04,6,Brand#24,10,7507,42
F,F,R,COLLECT COD,1,Manufacturer#3,5-LOW,4,BUILDING,FOB,3,0,0.1,17,Brand#32,10,7507,27
F,F,A,DELIVER IN PERSON,4,Manufacturer#5,3-MEDIUM,4,AUTOMOBILE,MAIL,1,0.07,0.04,4,Brand#54,10,7508,15
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,1,HOUSEHOLD,TRUCK,1,0,0.07,2,Brand#31,2,7509,42
F,F,R,COLLECT COD,2,Manufacturer#1,1-URGENT,1,HOUSEHOLD,FOB,2,0.07,0.02,8,Brand#14,2,7509,47
F,F,R,DELIVER IN PERSON,0,Manufacturer#1,1-URGENT,1,HOUSEHOLD,FOB,4,0.03,0.06,16,Brand#12,2,7509,28
F,F,A,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,1,HOUSEHOLD,SHIP,3,0,0.08,8,Brand#15,2,7509,40
F,F,A,NONE,3,Manufacturer#2,5-LOW,0,BUILDING,TRUCK,2,0.03,0.06,19,Brand#25,15,7510,34
F,F,A,TAKE BACK RETURN,4,Manufacturer#3,5-LOW,0,BUILDING,SHIP,4,0.08,0,4,Brand#33,15,7510,37
F,F,R,COLLECT COD,3,Manufacturer#4,5-LOW,0,BUILDING,SHIP,3,0.04,0.06,19,Brand#43,15,7510,17
F,F,A,COLLECT COD,4,Manufacturer#4,5-LOW,0,BUILDING,TRUCK,1,0.08,0.05,4,Brand#44,15,7510,6
F,F,R,DELIVER IN PERSON,0,Manufacturer#1,5-LOW,0,BUILDING,FOB,5,0.06,0.02,16,Brand#15,15,7510,33
F,F,A,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,SHIP,5,0,0.09,1,Brand#35,0,7511,1
F,F,R,DELIVER IN PERSON,2,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,4,0.05,0.01,9,Brand#35,0,7511,14
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,1,0.08,0.1,18,Brand#44,0,7511,14
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,4-NOT SPECIFIED,0,AUTOMOBILE,REG AIR,2,0.02,0.01,18,Brand#44,0,7511,18
F,F,A,NONE,4,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,FOB,3,0.04,0.03,4,Brand#33,0,7511,1
F,F,A,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,1,AUTOMOBILE,FOB,7,0.02,0.07,24,Brand#11,2,7512,20
F,F,A,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,1,AUTOMOBILE,FOB,6,0.05,0.05,24,Brand#11,2,7512,26
F,F,R,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,1,AUTOMOBILE,AIR,1,0.05,0.06,22,Brand#25,2,7512,20
F,F,R,NONE,3,Manufacturer#5,1-URGENT,1,AUTOMOBILE,RAIL,3,0.04,0.09,22,Brand#53,2,7512,20
F,F,A,NONE,1,Manufacturer#4,1-URGENT,1,AUTOMOBILE,AIR,5,0.01,0.09,1,Brand#45,2,7512,2
F,F,R,DELIVER IN PERSON,4,Manufacturer#2,1-URGENT,1,AUTOMOBILE,MAIL,2,0.08,0.05,11,Brand#23,2,7512,29
F,F,A,COLLECT COD,1,Manufacturer#3,1-URGENT,1,AUTOMOBILE,FOB,4,0.02,0.08,24,Brand#32,2,7512,32
F,F,R,NONE,4,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,SHIP,1,0.08,0.04,4,Brand#15,18,7513,8
F,F,R,TAKE BACK RETURN,1,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,REG AIR,4,0.02,0.02,24,Brand#12,18,7513,39
F,F,A,COLLECT COD,1,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,MAIL,2,0.02,0.1,3,Brand#15,18,7513,8
F,F,A,COLLECT COD,2,Manufacturer#5,4-NOT SPECIFIED,2,MACHINERY,RAIL,3,0.08,0.06,18,Brand#54,18,7513,36
