o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
O,NONE,0,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,4,0.01,1998-01-24,1998-03-20,1998-04-12,1998-04-15,0,33
O,COLLECT COD,2,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,2,0.07,1998-01-24,1998-04-03,1998-05-23,1998-06-02,0,3
O,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,1,0.07,1998-01-24,1998-04-22,1998-04-10,1998-04-11,0,25
O,DELIVER IN PERSON,0,Manufacturer#4,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,3,0.07,1998-01-24,1998-03-20,1998-02-23,1998-03-24,0,45
O,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,TRUCK,6,0.01,1998-01-24,1998-04-22,1998-03-05,1998-03-30,0,34
O,DELIVER IN PERSON,4,Manufacturer#1,4-NOT SPECIFIED,0,HOUSEHOLD,RAIL,5,0.06,1998-01-24,1998-04-07,1998-01-29,1998-02-18,0,39
O,NONE,2,Manufacturer#5,2-HIGH,1,BUILDING,RAIL,3,0.01,1997-05-09,1997-07-24,1997-07-31,1997-08-17,0,25
O,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,1,BUILDING,SHIP,2,0.08,1997-05-09,1997-07-28,1997-08-09,1997-08-26,0,34
O,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,BUILDING,SHIP,4,0.07,1997-05-09,1997-07-13,1997-06-02,1997-06-04,0,15
O,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,1,BUILDING,SHIP,1,0,1997-05-09,1997-08-02,1997-07-24,1997-08-07,0,37
