o_orderstatus,sn_regionkey,p_mfgr,o_orderpriority,o_orderdate,l_shipinstruct,l_commitdate,cn_regionkey,l_shipdate,c_mktsegment,l_receiptdate,l_shipmode,p_retailprice,l_linenumber,l_tax,groupcol,aggcol
O,0,Manufacturer#5,4-NOT SPECIFIED,1998-01-24,NONE,1998-03-20,0,1998-04-12,HOUSEHOLD,1998-04-15,FOB,1867.96,4,0.01,0,61642.68
O,2,Manufacturer#5,4-NOT SPECIFIED,1998-01-24,COLLECT COD,1998-04-03,0,1998-05-23,HOUSEHOLD,1998-06-02,SHIP,1560.66,2,0.07,0,4260.6018
O,1,Manufacturer#3,4-NOT SPECIFIED,1998-01-24,COLLECT COD,1998-04-22,0,1998-04-10,HOUSEHOLD,1998-04-11,FOB,1520.62,1,0.07,0,34594.105
O,0,Manufacturer#4,4-NOT SPECIFIED,1998-01-24,DELIVER IN PERSON,1998-03-20,0,1998-02-23,HOUSEHOLD,1998-03-24,SHIP,1245.34,3,0.07,0,56040.3
O,1,Manufacturer#3,4-NOT SPECIFIED,1998-01-24,DELIVER IN PERSON,1998-04-22,0,1998-03-05,HOUSEHOLD,1998-03-30,TRUCK,1858.95,6,0.01,0,60676.128
O,4,Manufacturer#1,4-NOT SPECIFIED,1998-01-24,DELIVER IN PERSON,1998-04-07,0,1998-01-29,HOUSEHOLD,1998-02-18,RAIL,934.03,5,0.06,0,33512.9964
O,2,Manufacturer#5,2-HIGH,1997-05-09,NONE,1997-07-24,1,1997-07-31,BUILDING,1997-08-17,RAIL,1725.82,3,0.01,0,42714.045
O,3,Manufacturer#2,2-HIGH,1997-05-09,TAKE BACK RETURN,1997-07-28,1,1997-08-09,BUILDING,1997-08-26,SHIP,1594.69,2,0.08,0,52592.8762
O,0,Manufacturer#4,2-HIGH,1997-05-09,DELIVER IN PERSON,1997-07-13,1,1997-06-02,BUILDING,1997-06-04,SHIP,1512.61,4,0.07,0,21100.9095
O,1,Manufacturer#5,2-HIGH,1997-05-09,TAKE BACK RETURN,1997-08-02,1,1997-07-24,BUILDING,1997-08-07,SHIP,1790.89,1,0,0,62287.1542
F,3,Manufacturer#5,5-LOW,1992-11-19,TAKE BACK RETURN,1992-12-25,3,1992-11-25,BUILDING,1992-12-09,REG AIR,1753.85,2,0.02,1,62507.214
F,1,Manufacturer#3,5-LOW,1992-11-19,COLLECT COD,1993-01-24,3,1993-02-15,BUILDING,1993-03-05,TRUCK,929.02,1,0.02,2,39316.1264
F,0,Manufacturer#3,5-LOW,1992-11-19,COLLECT COD,1993-02-14,3,1993-01-08,BUILDING,1993-01-29,SHIP,1295.39,3,0.06,1,41037.9552
F,2,Manufacturer#1,5-LOW,1992-11-19,COLLECT COD,1993-01-31,3,1993-02-15,BUILDING,1993-02-24,SHIP,1671.77,6,0.01,2,34572.2036
F,4,Manufacturer#2,5-LOW,1992-11-19,DELIVER IN PERSON,1993-01-08,3,1993-01-26,BUILDING,1993-02-24,FOB,1587.68,7,0.04,2,1508.296
F,2,Manufacturer#3,5-LOW,1992-11-19,TAKE BACK RETURN,1993-01-02,3,1992-12-07,BUILDING,1992-12-11,FOB,1214.31,5,0,1,27394.8336
F,1,Manufacturer#2,5-LOW,1992-11-19,COLLECT COD,1993-02-14,3,1993-01-29,BUILDING,1993-02-10,MAIL,1253.35,4,0.01,2,42613.9
F,2,Manufacturer#4,3-MEDIUM,1994-06-08,COLLECT COD,1994-08-30,2,1994-09-20,HOUSEHOLD,1994-09-23,REG AIR,1792.89,3,0.03,1,6884.6976
F,0,Manufacturer#4,3-MEDIUM,1994-06-08,NONE,1994-09-02,2,1994-09-14,HOUSEHOLD,1994-10-04,FOB,1577.67,1,0.02,2,63895.635
F,0,Manufacturer#4,3-MEDIUM,1994-06-08,NONE,1994-08-10,2,1994-09-17,HOUSEHOLD,1994-09-21,SHIP,1343.44,2,0.04,1,65828.56
F,1,Manufacturer#5,2-HIGH,1993-09-20,COLLECT COD,1993-11-04,1,1993-12-05,HOUSEHOLD,1994-01-01,MAIL,1589.68,3,0.01,1,57864.352
F,0,Manufacturer#4,2-HIGH,1993-09-20,DELIVER IN PERSON,1993-11-06,1,1993-12-21,HOUSEHOLD,1994-01-17,RAIL,1514.61,6,0.05,2,47013.4944
F,1,Manufacturer#4,2-HIGH,1993-09-20,NONE,1993-11-14,1,1993-11-18,HOUSEHOLD,1993-11-28,TRUCK,1802.9,1,0.01,1,69483.766
F,0,Manufacturer#1,2-HIGH,1993-09-20,NONE,1993-12-12,1,1993-10-18,HOUSEHOLD,1993-10-31,TRUCK,1801.9,2,0.08,1,54777.76
F,4,Manufacturer#5,2-HIGH,1993-09-20,NONE,1993-10-29,1,1993-12-08,HOUSEHOLD,1993-12-30,REG AIR,1730.83,7,0.02,1,73992.9825
F,4,Manufacturer#1,2-HIGH,1993-09-20,COLLECT COD,1993-11-01,1,1993-10-07,HOUSEHOLD,1993-10-26,SHIP,1187.28,5,0.02,2,21157.3296
F,2,Manufacturer#4,2-HIGH,1993-09-20,TAKE BACK RETURN,1993-12-17,1,1993-10-04,HOUSEHOLD,1993-10-23,MAIL,1866.96,4,0.08,1,25764.048
F,4,Manufacturer#1,3-MEDIUM,1994-06-01,DELIVER IN PERSON,1994-08-23,2,1994-08-24,MACHINERY,1994-08-27,FOB,1556.65,1,0.05,2,32362.7535
F,4,Manufacturer#2,2-HIGH,1994-12-03,COLLECT COD,1995-02-08,1,1995-03-02,BUILDING,1995-03-03,RAIL,1237.33,6,0.08,1,20044.746
F,2,Manufacturer#5,2-HIGH,1994-12-03,COLLECT COD,1995-01-04,1,1994-12-25,BUILDING,1995-01-15,REG AIR,1171.27,7,0.03,1,10225.1871
F,0,Manufacturer#3,2-HIGH,1994-12-03,NONE,1995-01-06,1,1995-01-24,BUILDING,1995-02-17,TRUCK,1855.95,4,0.03,2,86394.4725
F,0,Manufacturer#5,2-HIGH,1994-12-03,COLLECT COD,1995-02-21,1,1995-01-04,BUILDING,1995-01-21,REG AIR,1593.69,3,0.01,1,65978.766
F,4,Manufacturer#5,2-HIGH,1994-12-03,TAKE BACK RETURN,1995-02-27,1,1995-02-12,BUILDING,1995-03-06,REG AIR,948.04,5,0.02,1,38319.7768
F,2,Manufacturer#3,2-HIGH,1994-12-03,COLLECT COD,1995-02-15,1,1995-02-16,BUILDING,1995-02-25,TRUCK,1596.69,2,0.05,2,69791.3199
F,4,Manufacturer#5,2-HIGH,1994-12-03,NONE,1995-02-21,1,1994-12-09,BUILDING,1995-01-03,TRUCK,1498.59,1,0.02,1,48958.9353
O,2,Manufacturer#1,3-MEDIUM,1996-08-20,COLLECT COD,1996-09-29,1,1996-09-06,AUTOMOBILE,1996-10-01,RAIL,1381.48,7,0.04,0,45132.9516
O,0,Manufacturer#4,3-MEDIUM,1996-08-20,NONE,1996-10-30,1,1996-11-28,AUTOMOBILE,1996-12-12,TRUCK,1365.46,5,0.05,0,60326.0228
O,2,Manufacturer#2,3-MEDIUM,1996-08-20,TAKE BACK RETURN,1996-09-23,1,1996-10-02,AUTOMOBILE,1996-10-14,REG AIR,1145.24,4,0,0,38136.492
O,2,Manufacturer#4,3-MEDIUM,1996-08-20,DELIVER IN PERSON,1996-10-03,1,1996-11-13,AUTOMOBILE,1996-11-25,SHIP,1079.17,2,0.04,0,2158.34
O,2,Manufacturer#3,3-MEDIUM,1996-08-20,NONE,1996-10-27,1,1996-09-25,AUTOMOBILE,1996-10-20,SHIP,1860.95,1,0.08,0,68222.427
O,3,Manufacturer#1,3-MEDIUM,1996-08-20,TAKE BACK RETURN,1996-11-03,1,1996-09-22,AUTOMOBILE,1996-10-22,AIR,1018.11,6,0.06,0,39400.857
O,2,Manufacturer#1,3-MEDIUM,1996-08-20,NONE,1996-11-03,1,1996-09-22,AUTOMOBILE,1996-10-13,MAIL,960.06,3,0.05,0,27073.692
O,0,Manufacturer#5,1-URGENT,1995-12-04,DELIVER IN PERSON,1996-01-07,1,1995-12-06,HOUSEHOLD,1995-12-14,SHIP,1728.82,1,0.03,0,77935.2056
O,2,Manufacturer#3,1-URGENT,1995-12-04,NONE,1996-01-16,1,1996-02-29,HOUSEHOLD,1996-03-06,REG AIR,1663.76,5,0.07,0,66616.9504
O,0,Manufacturer#2,1-URGENT,1995-12-04,COLLECT COD,1996-01-14,1,1996-02-13,HOUSEHOLD,1996-03-04,FOB,1061.16,2,0.06,0,2865.132
O,2,Manufacturer#1,1-URGENT,1995-12-04,TAKE BACK RETURN,1996-02-10,1,1995-12-11,HOUSEHOLD,1995-12-14,SHIP,1100.19,6,0.03,0,2046.3534
O,4,Manufacturer#3,1-URGENT,1995-12-04,COLLECT COD,1996-01-03,1,1996-03-16,HOUSEHOLD,1996-03-22,FOB,1380.47,3,0.07,0,45997.2604
