o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,s_nationkey,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
O,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,0,HOUSEHOLD,FOB,3,18,1996-01-02,1996-03-02,1996-03-20,1996-04-11,0,51507.267084
O,COLLECT COD,0,Manufacturer#1,2-HIGH,0,HOUSEHOLD,TRUCK,4,14,1996-01-02,1996-03-15,1996-03-03,1996-03-30,0,45473.177088
O,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,0,HOUSEHOLD,MAIL,1,11,1996-01-02,1996-03-23,1996-05-02,1996-05-28,0,24291.3632
O,NONE,0,Manufacturer#1,2-HIGH,0,HOUSEHOLD,TRUCK,2,16,1996-01-02,1996-02-09,1996-01-08,1996-02-04,0,4890.564042
F,COLLECT COD,4,Manufacturer#5,5-LOW,2,AUTOMOBILE,TRUCK,2,10,1994-04-20,1994-06-24,1994-04-28,1994-05-17,2,10724.976
F,NONE,1,Manufacturer#4,5-LOW,2,AUTOMOBILE,FOB,5,24,1994-04-20,1994-06-23,1994-07-06,1994-07-31,1,12542.7426
F,NONE,0,Manufacturer#5,5-LOW,2,AUTOMOBILE,REG AIR,3,16,1994-04-20,1994-06-08,1994-05-09,1994-06-07,2,4613.256
F,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,AUTOMOBILE,FOB,1,17,1994-04-20,1994-07-04,1994-08-04,1994-08-18,1,80061.76272
F,NONE,3,Manufacturer#2,5-LOW,2,AUTOMOBILE,AIR,4,19,1994-04-20,1994-07-02,1994-07-27,1994-08-07,2,7159.6224
F,NONE,1,Manufacturer#5,2-HIGH,0,AUTOMOBILE,MAIL,1,17,1992-11-23,1993-01-04,1992-11-25,1992-11-30,1,86449.265574
F,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,4,FURNITURE,MAIL,3,22,1993-05-06,1993-06-20,1993-08-22,1993-09-05,2,7073.52256
F,DELIVER IN PERSON,3,Manufacturer#3,1-URGENT,4,FURNITURE,TRUCK,6,6,1993-05-06,1993-06-08,1993-05-08,1993-05-22,1,69014.938368
F,NONE,2,Manufacturer#5,1-URGENT,4,FURNITURE,REG AIR,4,12,1993-05-06,1993-06-28,1993-07-12,1993-07-30,2,8749.926432
F,NONE,0,Manufacturer#3,1-URGENT,4,FURNITURE,SHIP,1,14,1993-05-06,1993-08-03,1993-05-22,1993-06-03,1,10308.57696
F,NONE,2,Manufacturer#3,1-URGENT,4,FURNITURE,TRUCK,5,9,1993-05-06,1993-07-24,1993-06-09,1993-07-05,1,40467.42612
F,COLLECT COD,1,Manufacturer#2,1-URGENT,4,FURNITURE,REG AIR,2,24,1993-05-06,1993-06-11,1993-05-19,1993-05-23,2,27993.403048
F,NONE,2,Manufacturer#4,1-URGENT,4,FURNITURE,MAIL,7,9,1993-05-06,1993-07-28,1993-06-05,1993-06-08,1,28842.637824
F,COLLECT COD,0,Manufacturer#5,5-LOW,4,BUILDING,RAIL,2,5,1992-04-17,1992-07-11,1992-07-27,1992-08-16,2,56745.343512
F,NONE,3,Manufacturer#2,5-LOW,4,BUILDING,FOB,1,6,1992-04-17,1992-05-24,1992-04-21,1992-05-09,1,41516.826624
F,COLLECT COD,1,Manufacturer#3,5-LOW,4,BUILDING,FOB,3,17,1992-04-17,1992-05-19,1992-07-01,1992-07-15,2,36853.623
F,DELIVER IN PERSON,4,Manufacturer#5,3-MEDIUM,4,AUTOMOBILE,MAIL,1,4,1992-10-19,1992-11-20,1993-02-08,1993-03-06,1,26668.62864
F,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,1,HOUSEHOLD,TRUCK,1,2,1994-06-19,1994-08-29,1994-07-03,1994-07-05,1,54351.5994
F,COLLECT COD,2,Manufacturer#1,1-URGENT,1,HOUSEHOLD,FOB,2,8,1994-06-19,1994-07-20,1994-09-14,1994-09-29,2,77902.549256
F,DELIVER IN PERSON,0,Manufacturer#1,1-URGENT,1,HOUSEHOLD,FOB,4,16,1994-06-19,1994-08-31,1994-06-26,1994-07-08,2,32322.504984
F,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,1,HOUSEHOLD,SHIP,3,8,1994-06-19,1994-08-15,1994-09-17,1994-10-16,1,49107.024
F,NONE,3,Manufacturer#2,5-LOW,0,BUILDING,TRUCK,2,19,1992-07-08,1992-08-22,1992-09-15,1992-10-02,1,46036.612612
F,TAKE BACK RETURN,4,Manufacturer#3,5-LOW,0,BUILDING,SHIP,4,4,1992-07-08,1992-08-28,1992-08-08,1992-08-26,1,42763.9932
