l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,3-MEDIUM,0,MAIL,1,0.02,2,Brand#33,0,SM CAN,14,0,6894.692
F,F,A,NONE,2,Manufacturer#4,4-NOT SPECIFIED,4,TRUCK,2,0.04,18,Brand#43,4,MED JAR,42,1,7289.619
F,F,A,TAKE BACK RETURN,1,Manufacturer#5,5-LOW,3,TRUCK,2,0.08,3,Brand#53,23,JUMBO PKG,10,2,79211.16
F,F,R,DELIVER IN PERSON,3,Manufacturer#3,5-LOW,3,RAIL,1,0.08,23,Brand#31,23,LG CAN,10,2,13636.9992
F,F,A,TAKE BACK RETURN,3,Manufacturer#3,5-LOW,2,TRUCK,4,0.03,7,Brand#33,9,WRAP PACK,33,3,5505.88
F,F,A,DELIVER IN PERSON,0,Manufacturer#2,5-LOW,2,AIR,1,0.02,0,Brand#21,9,SM BAG,23,3,40898.6368
F,F,A,COLLECT COD,4,Manufacturer#2,5-LOW,2,MAIL,2,0.06,10,Brand#24,9,LG DRUM,26,3,71054.88
F,F,N,COLLECT COD,1,Manufacturer#2,5-LOW,2,REG AIR,3,0.08,24,Brand#23,9,JUMBO DRUM,42,3,25384.9464
O,P,N,COLLECT COD,0,Manufacturer#5,5-LOW,2,AIR,5,0.07,14,Brand#55,9,MED BAG,10,4,29955.2121
F,P,R,NONE,1,Manufacturer#4,5-LOW,2,AIR,2,0,24,Brand#41,9,MED BOX,11,4,27156.2697
O,P,N,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,TRUCK,1,0,24,Brand#14,9,SM CAN,23,4,29362.6372
F,P,A,TAKE BACK RETURN,2,Manufacturer#4,5-LOW,2,AIR,3,0.05,21,Brand#44,9,WRAP CAN,16,4,62243.6724
O,P,N,COLLECT COD,3,Manufacturer#3,5-LOW,2,FOB,4,0,19,Brand#32,9,MED JAR,4,4,1101.1731
F,F,R,COLLECT COD,0,Manufacturer#1,4-NOT SPECIFIED,3,AIR,2,0.03,16,Brand#15,7,JUMBO BOX,34,5,4723.1628
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,1,RAIL,1,0.02,15,Brand#34,17,JUMBO CAN,28,6,38191.77
F,F,A,DELIVER IN PERSON,4,Manufacturer#2,2-HIGH,1,TRUCK,5,0.04,4,Brand#21,2,LG CAN,40,7,45382.68
F,F,R,COLLECT COD,3,Manufacturer#2,2-HIGH,1,RAIL,4,0.02,7,Brand#23,2,SM CASE,5,7,28827.05
F,P,R,TAKE BACK RETURN,4,Manufacturer#1,4-NOT SPECIFIED,0,REG AIR,6,0.05,4,Brand#13,14,JUMBO CASE,1,8,43400.2272
F,P,N,TAKE BACK RETURN,3,Manufacturer#3,4-NOT SPECIFIED,0,SHIP,1,0,22,Brand#33,14,SM CAN,48,8,61827.4314
F,P,R,NONE,2,Manufacturer#3,4-NOT SPECIFIED,0,RAIL,4,0.03,12,Brand#31,14,MED DRUM,39,8,55615.28
F,P,A,TAKE BACK RETURN,1,Manufacturer#5,4-NOT SPECIFIED,0,TRUCK,2,0.02,24,Brand#55,14,MED BAG,42,8,4675.691
O,P,N,TAKE BACK RETURN,4,Manufacturer#3,4-NOT SPECIFIED,0,SHIP,3,0.03,11,Brand#32,14,WRAP BOX,21,8,39928.7936
