l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,p_container,p_size,l_quantity,groupcol,aggcol
O,O,N,COLLECT COD,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,2,0.07,12,Brand#51,SM CAN,8,3,0,4260.6018
O,O,N,NONE,Manufacturer#5,2-HIGH,1,BUILDING,RAIL,3,0.01,21,Brand#54,SM BAG,1,25,1,42714.045
F,F,R,COLLECT COD,Manufacturer#1,5-LOW,3,BUILDING,SHIP,6,0.01,21,Brand#15,LG DRUM,17,22,1,34572.2036
F,F,A,TAKE BACK RETURN,Manufacturer#3,5-LOW,3,BUILDING,FOB,5,0,18,Brand#35,LG DRUM,14,24,2,27394.8336
F,F,A,COLLECT COD,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,REG AIR,3,0.03,21,Brand#41,WRAP CAN,20,4,1,6884.6976
F,F,A,TAKE BACK RETURN,Manufacturer#4,2-HIGH,1,HOUSEHOLD,MAIL,4,0.08,21,Brand#42,MED CAN,24,15,1,25764.048
F,F,A,COLLECT COD,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,7,0.03,18,Brand#52,MED PKG,32,9,2,10225.1871
F,F,R,COLLECT COD,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,2,0.05,12,Brand#35,SM CAN,28,47,0,69791.3199
O,O,N,COLLECT COD,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,RAIL,7,0.04,18,Brand#14,JUMBO PACK,17,33,2,45132.9516
O,O,N,TAKE BACK RETURN,Manufacturer#2,3-MEDIUM,1,AUTOMOBILE,REG AIR,4,0,18,Brand#23,JUMBO PKG,39,37,2,38136.492
O,O,N,DELIVER IN PERSON,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,SHIP,2,0.04,21,Brand#43,LG JAR,20,2,1,2158.34
O,O,N,NONE,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,SHIP,1,0.08,8,Brand#34,SM BAG,47,39,3,68222.427
O,O,N,NONE,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,MAIL,3,0.05,18,Brand#11,JUMBO CASE,27,30,2,27073.692
O,O,N,NONE,Manufacturer#3,1-URGENT,1,HOUSEHOLD,REG AIR,5,0.07,9,Brand#34,SM DRUM,7,44,4,66616.9504
O,O,N,TAKE BACK RETURN,Manufacturer#1,1-URGENT,1,HOUSEHOLD,SHIP,6,0.03,21,Brand#12,LG PKG,1,2,1,2046.3534
O,O,N,COLLECT COD,Manufacturer#3,1-URGENT,1,HOUSEHOLD,RAIL,4,0.02,9,Brand#35,SM BAG,21,8,4,8401.2
F,F,A,DELIVER IN PERSON,Manufacturer#5,3-MEDIUM,0,AUTOMOBILE,TRUCK,1,0.07,9,Brand#51,MED JAR,11,7,4,8664.6336
O,O,N,TAKE BACK RETURN,Manufacturer#5,5-LOW,1,AUTOMOBILE,REG AIR,2,0.08,18,Brand#54,JUMBO PACK,13,27,2,27272.7
O,O,N,COLLECT COD,Manufacturer#1,5-LOW,1,AUTOMOBILE,REG AIR,1,0.01,18,Brand#11,JUMBO PACK,12,13,2,20660.562
O,O,N,DELIVER IN PERSON,Manufacturer#3,5-LOW,1,AUTOMOBILE,SHIP,5,0.05,9,Brand#34,LG JAR,10,26,4,41712.866
F,F,R,TAKE BACK RETURN,Manufacturer#4,1-URGENT,3,HOUSEHOLD,MAIL,4,0.06,18,Brand#45,MED DRUM,33,38,2,52258.6944
F,F,R,NONE,Manufacturer#4,1-URGENT,3,HOUSEHOLD,SHIP,6,0.04,12,Brand#45,MED PKG,8,4,0,5183.7828
F,F,A,NONE,Manufacturer#2,1-URGENT,3,HOUSEHOLD,AIR,2,0.03,8,Brand#21,JUMBO CAN,1,37,3,32816.6024
O,P,N,COLLECT COD,Manufacturer#2,2-HIGH,2,AUTOMOBILE,RAIL,1,0.04,8,Brand#24,MED CASE,36,34,3,38766.2424
F,F,R,COLLECT COD,Manufacturer#5,5-LOW,0,FURNITURE,REG AIR,3,0.07,21,Brand#55,JUMBO BAG,19,31,1,41854.8112
F,F,R,COLLECT COD,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,AIR,3,0.07,9,Brand#52,JUMBO CASE,39,34,4,48298.6728
F,F,A,DELIVER IN PERSON,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,RAIL,6,0.02,21,Brand#41,MED CASE,15,42,1,51379.44
F,F,A,COLLECT COD,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,RAIL,4,0.03,8,Brand#35,LG CAN,42,6,3,6142.9752
O,O,N,TAKE BACK RETURN,Manufacturer#5,5-LOW,4,BUILDING,RAIL,4,0.08,9,Brand#53,SM CAN,37,8,4,13597.1352
F,F,R,TAKE BACK RETURN,Manufacturer#4,2-HIGH,3,HOUSEHOLD,RAIL,4,0.01,18,Brand#43,WRAP CAN,44,11,2,18417.6993
O,O,N,TAKE BACK RETURN,Manufacturer#1,1-URGENT,1,BUILDING,FOB,1,0.08,18,Brand#13,MED BAG,38,36,2,51618.9492
O,O,N,DELIVER IN PERSON,Manufacturer#2,1-URGENT,1,BUILDING,FOB,2,0.03,8,Brand#25,LG BOX,30,3,3,5430.0036
F,F,R,NONE,Manufacturer#5,3-MEDIUM,1,MACHINERY,RAIL,4,0.05,8,Brand#52,LG BAG,32,38,3,36017.73
F,F,A,NONE,Manufacturer#1,1-URGENT,0,HOUSEHOLD,TRUCK,1,0,12,Brand#14,JUMBO PKG,9,20,0,16525.6
O,O,N,COLLECT COD,Manufacturer#4,2-HIGH,0,BUILDING,SHIP,4,0.07,18,Brand#44,MED DRUM,45,24,2,43365.6
O,O,N,DELIVER IN PERSON,Manufacturer#1,2-HIGH,0,BUILDING,REG AIR,2,0,12,Brand#12,SM BAG,8,19,0,27407.424
F,F,R,DELIVER IN PERSON,Manufacturer#5,2-HIGH,1,HOUSEHOLD,AIR,4,0.02,8,Brand#53,LG JAR,26,23,3,39016.6204
F,F,R,TAKE BACK RETURN,Manufacturer#1,2-HIGH,1,HOUSEHOLD,RAIL,7,0.05,8,Brand#13,SM BAG,29,3,3,4745.4396
O,O,N,DELIVER IN PERSON,Manufacturer#1,1-URGENT,4,FURNITURE,TRUCK,1,0.05,21,Brand#13,MED JAR,19,37,1,52323.587
O,O,N,DELIVER IN PERSON,Manufacturer#1,1-URGENT,4,FURNITURE,AIR,4,0.08,21,Brand#12,WRAP PACK,36,33,1,41426.517
O,O,N,TAKE BACK RETURN,Manufacturer#1,5-LOW,1,MACHINERY,RAIL,1,0.03,18,Brand#15,SM CASE,34,10,2,13152.56
O,O,N,DELIVER IN PERSON,Manufacturer#1,4-NOT SPECIFIED,2,AUTOMOBILE,MAIL,1,0.02,18,Brand#11,JUMBO BOX,38,42,2,58369.9704
O,O,N,COLLECT COD,Manufacturer#1,4-NOT SPECIFIED,2,AUTOMOBILE,MAIL,3,0.05,9,Brand#13,WRAP BOX,26,19,4,21334.8663
F,F,A,NONE,Manufacturer#3,5-LOW,2,FURNITURE,FOB,3,0.07,8,Brand#33,WRAP CAN,6,45,3,67429.008
F,F,A,DELIVER IN PERSON,Manufacturer#3,5-LOW,2,FURNITURE,SHIP,4,0.07,18,Brand#33,SM CAN,48,29,2,40489.8348
F,F,A,TAKE BACK RETURN,Manufacturer#4,2-HIGH,1,MACHINERY,TRUCK,5,0.04,21,Brand#43,LG PKG,15,22,1,24781.2884
O,O,N,COLLECT COD,Manufacturer#5,2-HIGH,4,BUILDING,RAIL,5,0.07,21,Brand#51,LG PACK,42,23,1,42126.3584
O,O,N,TAKE BACK RETURN,Manufacturer#4,2-HIGH,4,BUILDING,AIR,7,0,21,Brand#45,LG JAR,47,42,1,50907.2256
F,F,A,TAKE BACK RETURN,Manufacturer#5,1-URGENT,1,MACHINERY,RAIL,4,0.08,9,Brand#51,LG BAG,10,34,4,38359.65
F,F,R,DELIVER IN PERSON,Manufacturer#3,1-URGENT,1,MACHINERY,MAIL,1,0.05,18,Brand#32,MED DRUM,8,44,2,67240.9584
F,F,R,DELIVER IN PERSON,Manufacturer#1,4-NOT SPECIFIED,4,AUTOMOBILE,SHIP,4,0.02,18,Brand#14,LG PKG,30,14,2,13093.038
F,F,A,DELIVER IN PERSON,Manufacturer#4,4-NOT SPECIFIED,4,AUTOMOBILE,REG AIR,3,0.02,9,Brand#42,JUMBO BAG,40,48,4,63641.76
F,F,A,TAKE BACK RETURN,Manufacturer#2,1-URGENT,2,BUILDING,MAIL,1,0,18,Brand#25,WRAP CASE,50,22,2,38805.6284
O,O,N,NONE,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,REG AIR,5,0.07,21,Brand#13,JUMBO CASE,19,14,1,21408.7104
