l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,groupcol,aggcol
F,F,A,TAKE BACK RETURN,0,Manufacturer#2,1-URGENT,3,FURNITURE,RAIL,3,0.04,1993-07-08,1993-09-28,6,19836.8928
F,F,A,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,3,AUTOMOBILE,FOB,4,0,1993-12-19,1994-01-31,6,6663.894
F,F,R,COLLECT COD,0,Manufacturer#2,4-NOT SPECIFIED,3,AUTOMOBILE,MAIL,5,0.08,1993-12-19,1994-03-18,6,29517.786
F,F,A,TAKE BACK RETURN,3,Manufacturer#4,5-LOW,0,HOUSEHOLD,REG AIR,2,0,1993-03-10,1993-06-04,6,-2289.573
F,F,R,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,1,AUTOMOBILE,AIR,4,0.08,1993-09-23,1993-11-15,6,26332.978
O,O,N,NONE,3,Manufacturer#4,1-URGENT,1,AUTOMOBILE,TRUCK,2,0.06,1996-12-21,1997-02-02,1,24860.149
O,O,N,DELIVER IN PERSON,4,Manufacturer#5,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,5,0.07,1997-03-02,1997-05-06,5,21289.7424
F,F,R,DELIVER IN PERSON,2,Manufacturer#1,5-LOW,4,HOUSEHOLD,TRUCK,1,0.06,1994-03-26,1994-05-21,0,3355.686
O,O,N,NONE,2,Manufacturer#1,5-LOW,0,BUILDING,MAIL,7,0.08,1997-04-22,1997-07-06,5,13450.08
O,O,N,NONE,1,Manufacturer#3,5-LOW,0,BUILDING,REG AIR,2,0.01,1997-04-22,1997-07-12,5,24249.6696
F,F,A,TAKE BACK RETURN,2,Manufacturer#3,2-HIGH,0,FURNITURE,FOB,4,0.03,1995-01-02,1995-02-25,2,68590.2161
F,F,A,NONE,4,Manufacturer#2,2-HIGH,0,AUTOMOBILE,REG AIR,4,0.03,1992-10-20,1993-01-03,3,9215.946
F,F,A,COLLECT COD,2,Manufacturer#2,5-LOW,0,AUTOMOBILE,AIR,6,0.04,1994-02-16,1994-04-28,0,11482.1792
F,F,A,COLLECT COD,3,Manufacturer#4,5-LOW,0,MACHINERY,FOB,7,0.05,1994-04-27,1994-05-29,0,9455.1965
F,F,R,COLLECT COD,0,Manufacturer#3,1-URGENT,1,BUILDING,AIR,6,0,1992-01-11,1992-04-10,3,41928.344
O,O,N,DELIVER IN PERSON,3,Manufacturer#3,1-URGENT,3,FURNITURE,RAIL,1,0.01,1997-12-13,1998-01-29,5,40757.6448
O,O,N,TAKE BACK RETURN,0,Manufacturer#2,1-URGENT,3,FURNITURE,RAIL,4,0,1997-12-13,1998-03-04,5,1914.4
F,F,R,DELIVER IN PERSON,4,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,RAIL,3,0.04,1994-04-16,1994-06-03,0,41261.49
O,O,N,TAKE BACK RETURN,2,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,REG AIR,5,0.02,1995-08-18,1995-10-12,2,11124.68
O,O,N,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,3,HOUSEHOLD,RAIL,3,0.07,1995-11-11,1996-02-06,2,35077.2816
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,4,FURNITURE,REG AIR,6,0.02,1993-12-28,1994-03-24,6,26792.528
F,F,R,DELIVER IN PERSON,0,Manufacturer#5,1-URGENT,3,HOUSEHOLD,RAIL,1,0.01,1994-01-31,1994-04-08,0,39762.5312
O,O,N,COLLECT COD,1,Manufacturer#1,4-NOT SPECIFIED,0,MACHINERY,SHIP,5,0.02,1996-10-09,1996-12-05,1,83132.4592
F,F,A,TAKE BACK RETURN,2,Manufacturer#1,2-HIGH,1,BUILDING,AIR,2,0.05,1994-09-06,1994-10-20,0,4629.075
O,O,N,COLLECT COD,1,Manufacturer#2,2-HIGH,4,MACHINERY,REG AIR,3,0.06,1996-04-18,1996-06-19,1,1573.764
O,O,N,NONE,0,Manufacturer#3,2-HIGH,4,MACHINERY,SHIP,1,0.04,1996-04-18,1996-06-07,1,13822.2444
O,O,N,DELIVER IN PERSON,2,Manufacturer#4,2-HIGH,1,BUILDING,MAIL,3,0.02,1995-12-03,1996-01-16,2,677.3966
F,F,R,NONE,2,Manufacturer#5,5-LOW,4,AUTOMOBILE,REG AIR,1,0.03,1993-10-17,1993-12-23,6,16879.0633
O,O,N,COLLECT COD,0,Manufacturer#5,3-MEDIUM,3,FURNITURE,TRUCK,2,0.07,1998-02-07,1998-04-18,4,17436.48
O,O,N,COLLECT COD,2,Manufacturer#5,2-HIGH,2,FURNITURE,SHIP,6,0.03,1996-09-12,1996-11-10,1,13649.1553
F,F,A,COLLECT COD,0,Manufacturer#4,4-NOT SPECIFIED,1,BUILDING,REG AIR,2,0,1993-12-23,1994-01-22,6,16086.675
O,O,N,TAKE BACK RETURN,0,Manufacturer#3,4-NOT SPECIFIED,3,MACHINERY,RAIL,1,0.04,1997-03-13,1997-05-04,5,12843.396
O,O,N,COLLECT COD,2,Manufacturer#4,1-URGENT,4,MACHINERY,REG AIR,1,0.08,1996-09-23,1996-11-28,1,45656.64
F,F,A,NONE,1,Manufacturer#5,4-NOT SPECIFIED,1,MACHINERY,SHIP,1,0,1993-04-19,1993-05-24,6,34133.499
O,O,N,TAKE BACK RETURN,4,Manufacturer#1,1-URGENT,3,BUILDING,REG AIR,3,0.04,1995-12-12,1996-01-23,2,5076.324
O,O,N,NONE,4,Manufacturer#4,2-HIGH,2,AUTOMOBILE,SHIP,5,0.04,1997-09-22,1997-12-15,5,9077.096
O,O,N,NONE,2,Manufacturer#4,2-HIGH,2,AUTOMOBILE,AIR,1,0.02,1997-09-22,1997-12-09,5,10113.2679
F,F,A,DELIVER IN PERSON,0,Manufacturer#1,1-URGENT,0,MACHINERY,MAIL,2,0.02,1992-03-27,1992-06-20,3,2564.85
O,P,N,TAKE BACK RETURN,2,Manufacturer#2,4-NOT SPECIFIED,1,BUILDING,FOB,1,0.05,1995-04-02,1995-06-10,2,21141.5365
O,O,N,COLLECT COD,0,Manufacturer#1,3-MEDIUM,1,BUILDING,MAIL,4,0.05,1998-01-26,1998-03-13,4,73124.13
O,O,N,TAKE BACK RETURN,4,Manufacturer#2,5-LOW,4,AUTOMOBILE,FOB,3,0.01,1995-10-18,1995-11-20,2,19748.26
F,P,R,TAKE BACK RETURN,0,Manufacturer#3,1-URGENT,0,MACHINERY,MAIL,2,0.01,1995-03-22,1995-04-29,2,4984.567
O,O,N,DELIVER IN PERSON,0,Manufacturer#4,1-URGENT,2,FURNITURE,FOB,2,0.02,1996-10-20,1996-12-29,1,7227.4405
O,O,N,TAKE BACK RETURN,0,Manufacturer#3,2-HIGH,4,FURNITURE,SHIP,2,0.07,1995-11-22,1996-01-27,2,9474.4988
F,F,A,NONE,3,Manufacturer#3,1-URGENT,2,FURNITURE,REG AIR,1,0.02,1992-03-06,1992-06-03,3,407.9876
F,F,A,TAKE BACK RETURN,2,Manufacturer#2,1-URGENT,3,BUILDING,SHIP,4,0.07,1993-01-12,1993-02-23,6,9477.582
O,O,N,DELIVER IN PERSON,2,Manufacturer#4,5-LOW,3,FURNITURE,REG AIR,3,0.03,1998-05-13,1998-07-02,4,16719.3
O,O,N,NONE,4,Manufacturer#4,5-LOW,3,FURNITURE,AIR,5,0.02,1998-05-13,1998-06-15,4,4693.616
O,O,N,TAKE BACK RETURN,2,Manufacturer#2,2-HIGH,1,MACHINERY,AIR,4,0.01,1997-05-16,1997-07-10,5,35352.5532
O,O,N,COLLECT COD,4,Manufacturer#4,5-LOW,4,BUILDING,REG AIR,2,0.03,1996-12-11,1997-01-14,1,1831.1408
O,O,N,TAKE BACK RETURN,2,Manufacturer#3,4-NOT SPECIFIED,3,HOUSEHOLD,REG AIR,2,0.04,1995-07-11,1995-08-12,2,1682.8384
O,O,N,TAKE BACK RETURN,3,Manufacturer#2,4-NOT SPECIFIED,4,HOUSEHOLD,TRUCK,7,0.04,1996-06-04,1996-08-12,1,20756.06
O,O,N,NONE,4,Manufacturer#2,4-NOT SPECIFIED,4,HOUSEHOLD,FOB,3,0.02,1996-06-04,1996-07-17,1,18936.06
O,O,N,COLLECT COD,2,Manufacturer#2,5-LOW,0,FURNITURE,AIR,3,0,1996-05-28,1996-07-17,1,27177.35
O,O,N,COLLECT COD,0,Manufacturer#3,3-MEDIUM,0,MACHINERY,TRUCK,4,0.05,1997-08-19,1997-10-16,5,1721.463
O,O,N,NONE,0,Manufacturer#4,2-HIGH,1,HOUSEHOLD,AIR,4,0.04,1996-12-16,1997-01-25,1,16982.2537
F,F,R,COLLECT COD,2,Manufacturer#3,1-URGENT,3,MACHINERY,FOB,7,0.06,1994-09-12,1994-10-27,0,13579.698
F,F,R,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,4,FURNITURE,AIR,7,0.07,1993-11-12,1993-12-20,6,49932.0666
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,1-URGENT,0,FURNITURE,SHIP,1,0,1992-11-13,1993-01-09,3,21820.704
F,F,A,DELIVER IN PERSON,3,Manufacturer#5,3-MEDIUM,0,HOUSEHOLD,FOB,3,0.03,1993-08-27,1993-10-10,6,41199.1712
