l_linestatus,o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,NONE,2,Manufacturer#3,2-HIGH,4,MACHINERY,REG AIR,2,0.04,8,Brand#31,11,JUMBO BOX,24,1745,17476.0768
F,F,DELIVER IN PERSON,3,Manufacturer#1,2-HIGH,4,MACHINERY,AIR,5,0,6,Brand#15,11,MED PACK,40,1745,36029.1395
F,F,NONE,3,Manufacturer#5,5-LOW,2,MACHINERY,FOB,2,0.06,7,Brand#53,18,JUMBO PKG,4,2161,8998.244
F,F,COLLECT COD,2,Manufacturer#4,5-LOW,2,MACHINERY,AIR,6,0.04,8,Brand#42,18,LG DRUM,48,2161,27754.45
F,F,NONE,0,Manufacturer#2,5-LOW,2,MACHINERY,MAIL,5,0.08,0,Brand#22,18,JUMBO JAR,19,2161,54955.22
F,F,NONE,4,Manufacturer#5,5-LOW,2,MACHINERY,REG AIR,1,0.02,11,Brand#54,21,MED BAG,6,2162,55203.0084
F,F,COLLECT COD,4,Manufacturer#1,2-HIGH,4,BUILDING,MAIL,4,0.04,4,Brand#14,13,MED BOX,2,2163,35083.53
F,F,DELIVER IN PERSON,1,Manufacturer#1,2-HIGH,4,BUILDING,FOB,1,0.02,17,Brand#13,13,SM BAG,29,2163,60580.08
F,F,TAKE BACK RETURN,2,Manufacturer#1,2-HIGH,4,BUILDING,FOB,5,0.04,18,Brand#15,13,WRAP BOX,30,2163,41513.68
F,F,DELIVER IN PERSON,0,Manufacturer#3,1-URGENT,0,HOUSEHOLD,MAIL,4,0.03,14,Brand#32,14,LG BAG,45,2164,44445.072
F,F,NONE,4,Manufacturer#4,1-URGENT,0,HOUSEHOLD,REG AIR,2,0.08,11,Brand#41,14,LG PACK,10,2164,25924.1346
F,F,DELIVER IN PERSON,4,Manufacturer#5,2-HIGH,2,FURNITURE,RAIL,1,0.07,4,Brand#52,12,SM DRUM,45,1029,64331.3454
F,F,NONE,2,Manufacturer#1,3-MEDIUM,2,HOUSEHOLD,AIR,4,0.01,18,Brand#11,21,LG PKG,39,2165,45208.2015
F,F,DELIVER IN PERSON,4,Manufacturer#5,3-MEDIUM,2,MACHINERY,AIR,2,0.08,10,Brand#52,18,SM PKG,9,2166,36084.876
F,F,DELIVER IN PERSON,2,Manufacturer#1,3-MEDIUM,2,MACHINERY,RAIL,4,0.07,21,Brand#11,18,LG BAG,25,2166,49202.8618
F,F,COLLECT COD,1,Manufacturer#2,2-HIGH,4,AUTOMOBILE,SHIP,2,0.02,3,Brand#21,20,SM CAN,22,2167,27436.6092
F,F,DELIVER IN PERSON,2,Manufacturer#3,2-HIGH,4,AUTOMOBILE,MAIL,1,0.08,21,Brand#35,20,LG BAG,36,2167,40543.3665
F,F,DELIVER IN PERSON,1,Manufacturer#2,2-HIGH,4,AUTOMOBILE,SHIP,4,0.01,24,Brand#23,20,WRAP DRUM,3,2167,51567.152
F,F,DELIVER IN PERSON,4,Manufacturer#3,3-MEDIUM,1,HOUSEHOLD,SHIP,7,0.06,4,Brand#31,2,JUMBO JAR,18,2168,62360.496
F,F,DELIVER IN PERSON,2,Manufacturer#5,3-MEDIUM,1,HOUSEHOLD,REG AIR,2,0.05,21,Brand#54,2,WRAP BOX,31,2168,38101.248
F,F,TAKE BACK RETURN,1,Manufacturer#5,3-MEDIUM,1,HOUSEHOLD,FOB,3,0.03,1,Brand#52,2,SM BAG,34,2168,45750.458
F,F,DELIVER IN PERSON,2,Manufacturer#1,3-MEDIUM,1,HOUSEHOLD,RAIL,1,0.02,9,Brand#11,2,MED CASE,36,2168,29019.5784
F,F,NONE,2,Manufacturer#4,3-MEDIUM,1,HOUSEHOLD,MAIL,5,0.04,9,Brand#41,2,WRAP PKG,18,2168,40035.87
F,F,DELIVER IN PERSON,4,Manufacturer#4,3-MEDIUM,0,MACHINERY,FOB,1,0.08,20,Brand#43,0,JUMBO PACK,35,1455,3711.2976
F,F,TAKE BACK RETURN,4,Manufacturer#5,3-MEDIUM,0,MACHINERY,RAIL,2,0.02,20,Brand#54,0,SM BAG,12,1455,8355.2192
F,F,TAKE BACK RETURN,1,Manufacturer#2,1-URGENT,3,BUILDING,RAIL,1,0,17,Brand#22,22,SM PACK,34,2169,63511.8044
F,F,COLLECT COD,2,Manufacturer#4,3-MEDIUM,3,AUTOMOBILE,FOB,2,0.01,12,Brand#45,23,SM PACK,7,2170,19587.0312
F,F,NONE,0,Manufacturer#2,4-NOT SPECIFIED,3,HOUSEHOLD,SHIP,2,0.06,14,Brand#24,19,MED DRUM,14,2171,10408.5171
