l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,cn_regionkey,c_mktsegment,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,R,COLLECT COD,0,Manufacturer#3,1,FURNITURE,4,0.04,0,0,Brand#33,24,LG DRUM,45,0,0
F,F,A,COLLECT COD,0,Manufacturer#1,1,FURNITURE,6,0.06,0.07,5,Brand#14,1,WRAP PACK,48,1,0
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,3,HOUSEHOLD,1,0.03,0.03,20,Brand#22,6,MED CAN,8,0,0
F,F,A,DELIVER IN PERSON,3,Manufacturer#2,2,MACHINERY,4,0.05,0.07,6,Brand#25,18,LG BAG,24,0,1
F,F,R,TAKE BACK RETURN,2,Manufacturer#2,1,FURNITURE,1,0.07,0.03,12,Brand#24,3,WRAP DRUM,34,1,0
F,F,R,NONE,1,Manufacturer#2,1,BUILDING,2,0.02,0.1,24,Brand#24,3,MED JAR,46,1,0
F,F,A,DELIVER IN PERSON,1,Manufacturer#2,1,BUILDING,3,0.01,0.07,24,Brand#25,2,WRAP BAG,32,1,0
F,F,R,COLLECT COD,1,Manufacturer#1,4,HOUSEHOLD,5,0.03,0.09,1,Brand#11,4,JUMBO DRUM,19,1,0
F,F,A,COLLECT COD,2,Manufacturer#4,2,MACHINERY,4,0,0.02,9,Brand#44,18,JUMBO JAR,29,1,0
F,F,R,COLLECT COD,3,Manufacturer#5,2,MACHINERY,1,0.04,0.05,7,Brand#55,18,JUMBO PKG,8,1,0
F,F,A,TAKE BACK RETURN,1,Manufacturer#5,2,FURNITURE,1,0.06,0.06,3,Brand#54,9,LG PKG,38,1,1
F,F,A,COLLECT COD,2,Manufacturer#5,3,MACHINERY,6,0.05,0.02,12,Brand#54,22,WRAP BAG,30,1,1
F,F,R,COLLECT COD,3,Manufacturer#2,2,HOUSEHOLD,1,0.05,0.04,6,Brand#22,12,JUMBO CASE,6,1,0
F,F,R,NONE,4,Manufacturer#3,3,AUTOMOBILE,2,0.08,0.02,4,Brand#35,19,SM DRUM,5,1,0
F,F,A,NONE,0,Manufacturer#2,1,AUTOMOBILE,1,0.06,0.07,0,Brand#21,3,SM DRUM,50,0,1
F,F,A,DELIVER IN PERSON,3,Manufacturer#5,4,AUTOMOBILE,1,0.04,0.09,23,Brand#53,4,WRAP JAR,2,1,1
