o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,groupcol,aggcol
F,1-URGENT,3,BUILDING,7,Clerk#000000385,1995-02-11,4647.63,4930,1
O,2-HIGH,4,AUTOMOBILE,4,Clerk#000000540,1995-11-12,3481.82,2394,1
O,4-NOT SPECIFIED,3,FURNITURE,19,Clerk#000000088,1996-11-15,567.16,1660,1
F,2-HIGH,0,MACHINERY,14,Clerk#000000291,1994-01-21,510.31,4709,1
O,3-MEDIUM,0,MACHINERY,16,Clerk#000000651,1997-06-18,6632.19,3082,1
O,4-NOT SPECIFIED,1,MACHINERY,24,Clerk#000000339,1995-09-24,7019.6,18,1
O,2-HIGH,0,AUTOMOBILE,5,Clerk#000000224,1997-08-01,2086.91,4895,1
O,4-NOT SPECIFIED,1,FURNITURE,1,Clerk#000000707,1996-05-06,6132.16,4153,1
F,4-NOT SPECIFIED,2,MACHINERY,21,Clerk#000000988,1992-02-09,2855.75,4326,1
F,4-NOT SPECIFIED,2,FURNITURE,18,Clerk#000000112,1992-04-05,8253.88,558,1
F,4-NOT SPECIFIED,3,MACHINERY,6,Clerk#000000295,1992-10-04,6178.26,826,1
O,4-NOT SPECIFIED,1,BUILDING,17,Clerk#000000535,1998-05-23,6737.18,2776,1
F,3-MEDIUM,0,HOUSEHOLD,14,Clerk#000000147,1994-09-30,3103,783,1
F,2-HIGH,0,BUILDING,15,Clerk#000000195,1994-12-26,1255.21,1858,1
O,1-URGENT,1,FURNITURE,2,Clerk#000000082,1997-02-26,-20.28,2562,1
F,3-MEDIUM,1,HOUSEHOLD,24,Clerk#000000565,1993-05-17,5478.86,37,1
F,2-HIGH,2,FURNITURE,12,Clerk#000000172,1994-06-15,1798.74,3118,1
F,5-LOW,4,FURNITURE,10,Clerk#000000783,1994-06-11,3589.49,2100,1
F,2-HIGH,1,BUILDING,24,Clerk#000000029,1993-11-24,8359.17,2356,1
O,5-LOW,1,FURNITURE,24,Clerk#000000086,1997-01-09,7851.32,337,1
F,5-LOW,2,BUILDING,18,Clerk#000000647,1992-06-10,6551.54,1134,1
O,3-MEDIUM,2,BUILDING,12,Clerk#000000661,1996-04-10,7924.97,926,1
F,1-URGENT,3,MACHINERY,19,Clerk#000000738,1992-09-03,3802.62,4569,1
O,4-NOT SPECIFIED,1,HOUSEHOLD,24,Clerk#000000271,1996-03-19,-75.6,9966,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,19,Clerk#000000960,1992-03-06,2991.38,1363,1
F,3-MEDIUM,3,AUTOMOBILE,7,Clerk#000000604,1995-02-24,8481.31,3924,1
F,1-URGENT,4,MACHINERY,20,Clerk#000000166,1994-11-26,264.57,2003,1
O,3-MEDIUM,4,FURNITURE,4,Clerk#000000737,1997-12-20,2248.2,176,1
F,5-LOW,0,MACHINERY,16,Clerk#000000757,1994-02-16,1240.94,729,1
O,1-URGENT,3,BUILDING,7,Clerk#000000091,1996-02-25,4817.91,3131,1
O,1-URGENT,0,AUTOMOBILE,0,Clerk#000000212,1997-08-25,7143.04,2219,1
O,5-LOW,0,FURNITURE,5,Clerk#000000397,1996-02-10,-333.85,3646,1
O,2-HIGH,0,BUILDING,0,Clerk#000000707,1997-08-07,-909.78,3986,1
O,3-MEDIUM,1,BUILDING,3,Clerk#000000368,1995-06-13,6879.93,4066,1
F,3-MEDIUM,4,AUTOMOBILE,10,Clerk#000000546,1994-07-12,3112.4,925,1
F,2-HIGH,1,MACHINERY,2,Clerk#000000020,1994-11-03,9754.94,4664,1
O,1-URGENT,1,HOUSEHOLD,2,Clerk#000000586,1997-03-28,7820.61,1095,1
F,1-URGENT,0,AUTOMOBILE,15,Clerk#000000592,1993-11-19,8853.83,4173,1
O,4-NOT SPECIFIED,2,FURNITURE,21,Clerk#000000266,1995-04-30,2114.53,2002,1
O,5-LOW,3,HOUSEHOLD,6,Clerk#000000038,1996-08-29,9180.72,2623,1
F,5-LOW,4,HOUSEHOLD,13,Clerk#000000698,1992-10-23,561.55,4729,1
P,5-LOW,0,MACHINERY,5,Clerk#000000426,1995-05-15,7158.04,3740,1
O,2-HIGH,1,MACHINERY,17,Clerk#000000394,1996-10-14,5225.9,868,1
F,5-LOW,2,MACHINERY,18,Clerk#000000943,1993-09-15,9737.02,2539,1
F,3-MEDIUM,1,FURNITURE,1,Clerk#000000153,1993-01-01,2134.43,1118,1
O,1-URGENT,1,AUTOMOBILE,2,Clerk#000000431,1995-08-22,4718.23,193,1
