o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,o_custkey,groupcol,aggcol
F,4-NOT SPECIFIED,0,AUTOMOBILE,15,Clerk#000000922,1993-08-25,4520.68,9446,0,1
F,5-LOW,2,MACHINERY,18,Clerk#000000943,1993-09-15,9737.02,8251,1,1
F,5-LOW,3,HOUSEHOLD,22,Clerk#000000986,1993-07-16,4648.37,14032,1,1
F,4-NOT SPECIFIED,1,MACHINERY,2,Clerk#000000103,1993-09-24,7671.86,4471,0,1
F,4-NOT SPECIFIED,4,FURNITURE,4,Clerk#000000609,1993-07-04,7057.96,4486,0,1
F,1-URGENT,1,AUTOMOBILE,2,Clerk#000000912,1993-08-03,5772.45,7681,2,1
F,3-MEDIUM,2,BUILDING,18,Clerk#000000780,1993-07-14,3797.4,13156,3,1
F,4-NOT SPECIFIED,3,MACHINERY,19,Clerk#000000276,1993-09-20,6988.5,4168,0,1
F,5-LOW,4,HOUSEHOLD,11,Clerk#000000690,1993-09-20,5273.69,2044,1,1
F,5-LOW,0,FURNITURE,15,Clerk#000000244,1993-07-25,7526,6889,1,1
F,4-NOT SPECIFIED,3,MACHINERY,19,Clerk#000000168,1993-09-16,6120.98,4847,0,1
F,3-MEDIUM,1,FURNITURE,2,Clerk#000000999,1993-09-14,6051.25,6797,3,1
F,4-NOT SPECIFIED,2,BUILDING,18,Clerk#000000257,1993-09-30,6030.96,13885,0,1
F,5-LOW,3,HOUSEHOLD,22,Clerk#000000568,1993-07-29,2172.73,12139,1,1
F,4-NOT SPECIFIED,4,BUILDING,13,Clerk#000000332,1993-09-18,1317.56,568,0,1
F,3-MEDIUM,3,BUILDING,22,Clerk#000000383,1993-07-16,8703.23,12095,3,1
F,1-URGENT,0,HOUSEHOLD,5,Clerk#000000868,1993-09-24,9547.72,12190,2,1
F,4-NOT SPECIFIED,0,FURNITURE,0,Clerk#000000313,1993-09-21,9559.37,11747,0,1
F,4-NOT SPECIFIED,1,HOUSEHOLD,1,Clerk#000000690,1993-08-19,9844.22,13784,0,1
F,1-URGENT,0,AUTOMOBILE,15,Clerk#000000673,1993-08-14,9991.49,14369,2,1
F,1-URGENT,1,HOUSEHOLD,24,Clerk#000000444,1993-09-19,9629.82,13165,2,1
F,4-NOT SPECIFIED,2,MACHINERY,8,Clerk#000000961,1993-08-18,548.28,9688,0,1
F,3-MEDIUM,2,BUILDING,12,Clerk#000000293,1993-09-18,827.31,4022,3,1
F,4-NOT SPECIFIED,4,AUTOMOBILE,13,Clerk#000000250,1993-09-08,4481.78,12149,0,1
F,5-LOW,4,HOUSEHOLD,13,Clerk#000000562,1993-08-16,2702.97,12703,1,1
F,2-HIGH,4,MACHINERY,11,Clerk#000000594,1993-08-14,3788.84,14158,4,1
F,3-MEDIUM,4,BUILDING,10,Clerk#000000180,1993-07-02,9354.24,4816,3,1
F,5-LOW,1,BUILDING,24,Clerk#000000716,1993-07-17,4845.59,8713,1,1
F,5-LOW,1,HOUSEHOLD,24,Clerk#000000513,1993-09-29,5292.84,12574,1,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,10,Clerk#000000803,1993-08-06,6700.49,2080,0,1
F,1-URGENT,2,AUTOMOBILE,21,Clerk#000000444,1993-09-22,4510.13,11098,2,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,9,Clerk#000000296,1993-09-22,780.05,1250,0,1
F,4-NOT SPECIFIED,3,FURNITURE,7,Clerk#000000928,1993-09-23,6523.6,6725,0,1
F,1-URGENT,0,BUILDING,5,Clerk#000000272,1993-08-23,-178.52,1115,2,1
F,4-NOT SPECIFIED,2,FURNITURE,18,Clerk#000000429,1993-07-29,802.38,10106,0,1
F,1-URGENT,4,AUTOMOBILE,13,Clerk#000000155,1993-09-06,8421.37,3536,2,1
F,5-LOW,1,MACHINERY,2,Clerk#000000877,1993-08-04,5975.12,8762,1,1
F,3-MEDIUM,0,AUTOMOBILE,0,Clerk#000000544,1993-07-16,5902.85,155,3,1
F,1-URGENT,3,FURNITURE,7,Clerk#000000645,1993-09-02,365.42,6751,2,1
F,5-LOW,2,HOUSEHOLD,18,Clerk#000000660,1993-08-03,-690.44,3010,1,1
F,1-URGENT,2,MACHINERY,8,Clerk#000000141,1993-07-30,8917.55,10153,2,1
F,1-URGENT,1,FURNITURE,17,Clerk#000000243,1993-09-16,8363.8,5156,2,1
F,4-NOT SPECIFIED,3,MACHINERY,23,Clerk#000000813,1993-08-13,9501.57,14041,0,1
F,2-HIGH,3,HOUSEHOLD,19,Clerk#000000432,1993-09-18,2526.82,12211,4,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,9,Clerk#000000821,1993-08-11,4171.42,13789,0,1
F,1-URGENT,3,FURNITURE,19,Clerk#000000140,1993-09-29,-617.1,10972,2,1
F,5-LOW,3,MACHINERY,7,Clerk#000000780,1993-08-25,8561.59,13514,1,1
F,5-LOW,3,AUTOMOBILE,23,Clerk#000000181,1993-09-03,9425.54,11149,1,1
F,5-LOW,0,BUILDING,0,Clerk#000000112,1993-08-31,2907.96,6277,1,1
F,2-HIGH,2,HOUSEHOLD,9,Clerk#000000639,1993-08-29,1888.31,5485,4,1
F,5-LOW,3,MACHINERY,23,Clerk#000000517,1993-07-11,1417.59,4640,1,1
F,2-HIGH,1,AUTOMOBILE,1,Clerk#000000055,1993-07-10,9994.84,12437,4,1
F,1-URGENT,4,MACHINERY,4,Clerk#000000830,1993-07-07,310.33,7366,2,1
F,5-LOW,2,MACHINERY,8,Clerk#000000857,1993-09-12,-833.4,12317,1,1
F,1-URGENT,2,HOUSEHOLD,21,Clerk#000000741,1993-07-07,2146.31,4226,2,1
F,4-NOT SPECIFIED,4,FURNITURE,20,Clerk#000000831,1993-08-10,842.28,7427,0,1
F,1-URGENT,1,HOUSEHOLD,17,Clerk#000000936,1993-07-22,8168.65,8687,2,1
F,4-NOT SPECIFIED,3,BUILDING,22,Clerk#000000349,1993-09-26,-998.09,11269,0,1
F,3-MEDIUM,3,BUILDING,22,Clerk#000000895,1993-08-26,1805.32,14056,3,1
F,5-LOW,1,BUILDING,17,Clerk#000000788,1993-09-29,-858.61,872,1,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,8,Clerk#000000370,1993-09-07,4946.29,4915,0,1
F,4-NOT SPECIFIED,2,FURNITURE,8,Clerk#000000683,1993-08-27,1515.06,12946,0,1
F,4-NOT SPECIFIED,1,BUILDING,17,Clerk#000000890,1993-07-20,868.69,13144,0,1
F,2-HIGH,3,AUTOMOBILE,23,Clerk#000000287,1993-08-13,668.51,937,4,1
F,1-URGENT,0,FURNITURE,15,Clerk#000000311,1993-08-01,3160.23,1070,2,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,8,Clerk#000000787,1993-08-29,5439.45,7031,0,1
F,5-LOW,0,HOUSEHOLD,5,Clerk#000000368,1993-07-05,5151.73,11899,1,1
F,1-URGENT,1,BUILDING,2,Clerk#000000778,1993-07-23,5241.88,6209,2,1
F,5-LOW,1,BUILDING,24,Clerk#000000425,1993-08-30,8533.52,10184,1,1
F,4-NOT SPECIFIED,4,MACHINERY,20,Clerk#000000195,1993-09-23,8956.63,7664,0,1
F,5-LOW,4,FURNITURE,10,Clerk#000000971,1993-09-15,3861.96,7505,1,1
F,2-HIGH,1,FURNITURE,3,Clerk#000000072,1993-08-20,2697.37,11113,4,1
F,4-NOT SPECIFIED,2,BUILDING,21,Clerk#000000348,1993-09-27,841.47,13846,0,1
F,2-HIGH,2,FURNITURE,8,Clerk#000000404,1993-07-14,9331.77,4811,4,1
F,1-URGENT,2,FURNITURE,21,Clerk#000000862,1993-07-03,2389.6,11281,2,1
F,1-URGENT,4,MACHINERY,11,Clerk#000000611,1993-07-27,-574.16,9137,2,1
F,2-HIGH,2,FURNITURE,21,Clerk#000000210,1993-08-31,-624.49,6052,4,1
F,2-HIGH,3,HOUSEHOLD,7,Clerk#000000744,1993-07-28,8555.12,1213,4,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,13,Clerk#000000803,1993-07-28,4429.81,527,0,1
F,3-MEDIUM,4,BUILDING,10,Clerk#000000144,1993-08-13,6099.05,10099,3,1
F,1-URGENT,0,BUILDING,5,Clerk#000000923,1993-09-15,4176.16,3067,2,1
F,4-NOT SPECIFIED,0,FURNITURE,5,Clerk#000000692,1993-09-28,8671.02,4876,0,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,10,Clerk#000000693,1993-09-15,1791.16,3346,0,1
F,3-MEDIUM,3,AUTOMOBILE,23,Clerk#000000661,1993-08-04,8888.34,3871,3,1
F,4-NOT SPECIFIED,4,AUTOMOBILE,13,Clerk#000000657,1993-07-17,1083.49,1561,0,1
F,2-HIGH,2,BUILDING,9,Clerk#000000358,1993-09-03,-547.64,5990,4,1
F,5-LOW,1,FURNITURE,24,Clerk#000000028,1993-09-20,8857.79,7552,1,1
F,3-MEDIUM,4,BUILDING,11,Clerk#000000971,1993-09-04,2266.63,3470,3,1
F,4-NOT SPECIFIED,0,FURNITURE,5,Clerk#000000548,1993-07-22,5930.41,14932,0,1
F,1-URGENT,1,BUILDING,2,Clerk#000000394,1993-07-03,4946.21,1027,2,1
F,4-NOT SPECIFIED,1,HOUSEHOLD,2,Clerk#000000205,1993-07-02,1906.52,326,0,1
F,4-NOT SPECIFIED,3,FURNITURE,19,Clerk#000000475,1993-09-27,391.39,11785,0,1
F,3-MEDIUM,4,HOUSEHOLD,11,Clerk#000000643,1993-08-24,4832.49,12298,3,1
F,3-MEDIUM,4,FURNITURE,10,Clerk#000000298,1993-07-28,6914.57,4106,3,1
F,3-MEDIUM,1,BUILDING,1,Clerk#000000644,1993-08-26,4652.49,10603,3,1
F,4-NOT SPECIFIED,3,MACHINERY,19,Clerk#000000468,1993-08-28,4520.35,5557,0,1
F,1-URGENT,4,HOUSEHOLD,13,Clerk#000000520,1993-09-24,5441.74,3130,2,1
F,4-NOT SPECIFIED,1,BUILDING,3,Clerk#000000162,1993-07-16,-376.29,4825,0,1
F,1-URGENT,4,MACHINERY,11,Clerk#000000553,1993-07-13,814.94,13888,2,1
F,5-LOW,3,AUTOMOBILE,6,Clerk#000000380,1993-07-11,3539.84,5084,1,1
F,5-LOW,4,BUILDING,10,Clerk#000000077,1993-07-28,5801.76,1507,1,1
F,1-URGENT,4,AUTOMOBILE,13,Clerk#000000114,1993-07-11,6673.46,1828,2,1
F,1-URGENT,0,AUTOMOBILE,14,Clerk#000000684,1993-08-19,7619.09,3574,2,1
