tableid,timeline,agg,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,
1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,0,0,0,1,1,1,1,1,0,1,1,0,
1,8,1,1,1,0,2,2,2,2,2,0,2,2,1,
1,7,1,0,0,0,3,3,1,3,1,0,3,1,2,
1,7,1,0,0,0,3,4,1,4,1,0,3,1,2,
1,5,1,0,0,0,3,5,1,5,1,0,4,1,3,
1,10,1,0,0,0,3,6,1,6,1,1,4,1,1,
1,7,1,0,1,0,2,7,3,7,0,0,4,0,2,
1,7,1,0,1,0,4,8,2,8,3,0,5,3,2,
1,8,1,0,2,0,2,9,4,9,4,0,6,4,2,
1,8,1,0,3,1,5,10,0,10,1,0,7,1,0,
1,8,1,0,0,0,3,11,0,11,4,0,5,4,3,
1,8,1,0,0,0,1,12,0,12,1,0,8,1,3,
1,7,1,0,3,0,3,13,3,13,4,0,7,4,4,
1,9,1,0,4,2,3,14,0,14,0,0,7,0,2,
1,8,1,0,4,0,1,15,5,15,0,0,8,0,0,
1,7,1,0,0,0,3,16,1,16,1,0,5,1,2,
1,8,1,0,1,0,4,17,2,17,0,0,3,0,1,
1,8,1,0,1,0,4,18,2,18,0,0,3,0,1,
1,6,1,0,0,0,3,19,6,19,4,0,0,4,1,
1,8,1,0,4,0,6,20,2,15,4,0,1,4,5,
1,8,1,0,4,0,1,21,2,20,0,0,6,0,2,
1,9,1,0,5,0,2,22,0,21,0,0,6,0,1,
1,6,1,0,5,3,1,23,7,22,2,0,5,2,1,
1,7,1,0,4,0,6,24,1,23,1,0,6,1,0,
1,8,1,0,1,0,2,25,2,24,4,0,8,4,2,
1,9,1,0,1,0,2,26,1,25,1,0,9,1,2,
1,8,1,0,0,0,1,27,3,26,1,0,6,1,1,
1,6,1,0,0,0,6,28,1,27,1,0,1,1,2,
1,9,1,0,2,0,3,29,0,28,4,0,6,4,0,
1,10,1,0,6,0,2,30,0,29,0,0,7,0,2,
1,7,1,0,0,0,1,31,2,30,2,0,8,2,2,
1,6,1,0,0,0,3,32,7,31,4,0,7,4,1,
