tableid,timeline,agg,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,
1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,3,0,1,0,0,0,1,1,0,1,0,1,1,1,1,
1,0,25,0,2,1,0,0,1,2,0,2,0,2,0,2,2,
1,0,45,0,0,2,0,0,2,0,0,3,0,3,1,3,3,
1,0,34,0,2,1,0,0,2,2,0,4,0,4,2,4,4,
1,0,39,0,3,3,0,0,2,3,0,5,0,5,3,5,5,
1,0,25,0,1,0,1,1,0,4,1,6,1,6,3,6,3,
1,0,34,0,4,4,1,1,3,5,1,7,1,7,1,7,1,
1,0,15,0,0,2,1,1,2,6,1,8,1,8,1,8,0,
1,0,37,0,2,0,1,1,3,7,1,9,1,9,1,9,2,
1,1,36,1,4,0,2,2,3,8,2,10,1,10,4,10,1,
1,2,46,1,2,1,2,2,1,9,2,11,1,11,2,11,2,
1,1,33,1,0,1,2,2,1,10,2,12,1,12,1,12,3,
1,2,22,1,1,3,2,2,1,11,2,11,1,13,1,13,4,
1,2,1,1,3,4,2,2,2,12,2,13,1,13,0,14,6,
1,1,24,1,1,1,2,2,3,13,2,14,1,14,0,15,5,
1,2,34,1,2,4,2,2,1,10,2,15,1,15,5,16,0,
1,1,4,1,1,2,3,3,1,14,3,16,0,16,4,17,3,
1,2,45,1,0,2,3,3,0,15,3,17,0,17,0,18,2,
1,1,50,1,0,2,3,3,0,16,3,18,0,18,1,19,1,
1,1,40,1,2,0,1,4,1,17,1,19,0,19,5,20,3,
1,2,32,1,0,2,1,4,2,18,1,20,0,20,3,21,4,
1,1,41,1,2,2,1,4,0,19,1,21,0,21,2,22,2,
1,1,32,1,0,3,1,4,0,20,1,22,0,22,2,23,1,
1,1,45,1,3,0,1,4,0,21,1,23,0,23,4,24,6,
1,2,18,1,3,3,1,4,1,22,1,24,0,24,1,25,5,
1,1,15,1,1,2,1,4,3,23,1,25,0,25,5,26,0,
1,2,21,1,3,3,3,5,2,24,3,26,2,26,0,27,2,
1,1,18,1,3,4,1,6,1,25,1,27,1,27,3,28,4,
1,1,9,1,1,0,1,6,1,26,1,28,1,28,4,29,6,
1,2,49,1,0,1,1,6,0,27,1,29,1,29,2,30,0,
1,1,46,1,0,0,1,6,1,28,1,30,1,30,4,31,3,
1,1,43,1,3,0,1,6,3,29,1,31,1,31,4,32,5,
1,2,47,1,1,1,1,6,1,30,1,32,1,32,2,33,1,
1,1,33,1,3,0,1,6,0,28,1,33,1,33,2,34,2,
1,0,33,0,1,3,3,7,1,31,1,34,3,34,3,35,6,
1,0,47,0,0,2,3,7,0,32,1,35,3,35,2,36,5,
1,0,37,0,1,4,3,7,3,33,1,36,3,36,4,37,0,
1,0,2,0,1,2,3,7,2,34,1,37,3,37,1,38,1,
1,0,39,0,1,1,3,7,0,35,1,38,3,38,1,39,2,
1,0,43,0,4,3,3,7,3,36,1,39,3,39,6,40,4,
1,0,30,0,1,3,3,7,0,36,1,39,3,40,5,41,3,
1,0,49,0,0,0,4,8,2,37,1,40,0,41,1,42,2,
1,0,44,0,1,1,4,8,0,38,1,41,0,42,4,43,5,
1,0,3,0,0,4,4,8,1,39,1,42,0,43,0,44,1,
1,0,2,0,1,3,4,8,3,40,1,43,0,41,1,45,4,
1,0,34,0,3,1,4,8,1,41,1,44,0,44,0,46,3,
