tableID	time	agg	o_orderstatus	sn_regionkey	p_mfgr	o_orderpriority	o_orderdate	l_shipinstruct	l_commitdate	cn_regionkey	l_shipdate	c_mktsegment	
1	0	33	0	0	0	0	0	0	0	0	0	0	
1	0	3	0	1	0	0	0	1	1	0	1	0	
1	0	25	0	2	1	0	0	1	2	0	2	0	
1	0	45	0	0	2	0	0	2	0	0	3	0	
1	0	34	0	2	1	0	0	2	2	0	4	0	
1	0	39	0	3	3	0	0	2	3	0	5	0	
1	0	25	0	1	0	1	1	0	4	1	6	1	
1	0	34	0	4	4	1	1	3	5	1	7	1	
1	0	15	0	0	2	1	1	2	6	1	8	1	
1	0	37	0	2	0	1	1	3	7	1	9	1	
1	1	36	1	4	0	2	2	3	8	2	10	1	
1	2	46	1	2	1	2	2	1	9	2	11	1	
1	1	33	1	0	1	2	2	1	10	2	12	1	
1	2	22	1	1	3	2	2	1	11	2	11	1	
1	2	1	1	3	4	2	2	2	12	2	13	1	
1	1	24	1	1	1	2	2	3	13	2	14	1	
1	2	34	1	2	4	2	2	1	10	2	15	1	
1	1	4	1	1	2	3	3	1	14	3	16	0	
1	2	45	1	0	2	3	3	0	15	3	17	0	
1	1	50	1	0	2	3	3	0	16	3	18	0	
1	1	40	1	2	0	1	4	1	17	1	19	0	
1	2	32	1	0	2	1	4	2	18	1	20	0	
1	1	41	1	2	2	1	4	0	19	1	21	0	
1	1	32	1	0	3	1	4	0	20	1	22	0	
1	1	45	1	3	0	1	4	0	21	1	23	0	
1	2	18	1	3	3	1	4	1	22	1	24	0	
1	1	15	1	1	2	1	4	3	23	1	25	0	
1	2	21	1	3	3	3	5	2	24	3	26	2	
1	1	18	1	3	4	1	6	1	25	1	27	1	
1	1	9	1	1	0	1	6	1	26	1	28	1	
1	2	49	1	0	1	1	6	0	27	1	29	1	
1	1	46	1	0	0	1	6	1	28	1	30	1	
1	1	43	1	3	0	1	6	3	29	1	31	1	
1	2	47	1	1	1	1	6	1	30	1	32	1	
1	1	33	1	3	0	1	6	0	28	1	33	1	
1	0	33	0	1	3	3	7	1	31	1	34	3	
1	0	47	0	0	2	3	7	0	32	1	35	3	
